2019-07-16T05:53:01.903Z - info: Website generation started at 1:53:01 PM
2019-07-16T05:53:03.058Z - info: Building assets...
2019-07-16T05:53:03.998Z - info: Assets built
2019-07-16T05:53:03.998Z - info: Generating pages...
2019-07-16T05:54:15.676Z - info: Pages built
2019-07-16T05:54:30.150Z - info: Website generation complete! Total build time: 88.254s
2019-07-16T05:54:30.489Z - info: Serving "C:\repos\nusCS2113-AY1920S1\cs2113-website\_site" at http://127.0.0.1:8080
2019-07-16T05:54:30.489Z - info: Press CTRL+C to stop ...
2019-07-16T05:54:30.513Z - info: Site data built
2019-07-16T05:58:25.909Z - info: [1:58:25 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\_markbind\variables.md
2019-07-16T05:58:26.911Z - info: Rebuilding affected source files
2019-07-16T05:58:26.964Z - warn: Rebuilding all pages as variables file was changed, or the --force-reload flag was set
2019-07-16T05:58:27.050Z - info: Rebuilding 714 pages
2019-07-16T05:59:52.928Z - info: Pages rebuilt
2019-07-16T05:59:52.954Z - info: Site data built
2019-07-16T06:01:06.333Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\_markbind\boilerplates\unit-inParent-asOutcome.md
2019-07-16T06:01:06.338Z - info: [2:01:06 PM] Reload for file add: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\_markbind\boilerplates\dukeNestedFragment.md
2019-07-16T06:01:06.339Z - info: [2:01:06 PM] Reload for file add: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\_markbind\boilerplates\dukeExtensionTitle.md
2019-07-16T06:01:06.340Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\_markbind\boilerplates\unit-inElsewhere-asFlat.md
2019-07-16T06:01:06.342Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\_markbind\variables.md
2019-07-16T06:01:06.344Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\about\acknowledgements.md
2019-07-16T06:01:06.351Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\about\usage.md
2019-07-16T06:01:06.354Z - info: [2:01:06 PM] Reload for file change: C:\repos\nusCS2113-AY1920S1\cs2113-website\book\architecture\architecturalStyles\clientServer\index.md
